DATAFLOW,LAST UPDATE,freq,unit,isced11,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Spain,2018,7055.5,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Spain,2019,7378.0,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Spain,2020,7636.9,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Spain,2021,8012.7,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Spain,2022,8471.4,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,European Union - 27 countries (from 2020),2016,78829.5,d,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,European Union - 27 countries (from 2020),2017,83690.5,d,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,European Union - 27 countries (from 2020),2018,87830.6,d,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,European Union - 27 countries (from 2020),2019,92324.8,d,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,European Union - 27 countries (from 2020),2020,97721.5,d,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,European Union - 27 countries (from 2020),2021,103703.5,d,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,European Union - 27 countries (from 2020),2022,110025.9,d,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,European Union - 28 countries (2013-2020),2016,84186.3,d,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,European Union - 28 countries (2013-2020),2017,88697.8,d,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,European Union - 28 countries (2013-2020),2018,93767.0,d,
